Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,Contracted_Production,Spot_Production,Curtailed_Volume,Take_Or_Pay_Penalty,SRMC,Opex,Transport_Cost,Profit_Margin,Max_Capacity,Is_Operational,Plant_ID,Design_Load_Factor,Annual_Load_Factor,NPV,Discount_Rate,ROACE,Feedstock_Price,Available_Feedstock,Current_Supply,Optimism_Factor,SAF_Demand,Consumer_Price_Forecast,EBIT,Raw_ROACE,Max_Supply,Cumulative_Allocated,Num_Owned_Sites,State_Spot_Price,Aggregator_Contracted_Capacity,Contract_Price,Initial_Contract_Price,Num_Contracts,Avg_Contract_Coverage
11,site_ODISHA_624,11,2035,SAFProductionSite,site_ODISHA_624,ODISHA,inv_11,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_ODISHA_624,1.0,,,,,,,,,,,-125000000.0,,,,0,445.50000000000006,89404.74534625192,405.0,405.0,,
11,site_BIHAR_725,11,2035,SAFProductionSite,site_BIHAR_725,BIHAR,inv_12,0.0,0.0,0.0,0.0,0.0,1525.71,285.71,600.0,250.0,100000.0,False,site_BIHAR_725,1.0,,,,,,,,,,,,,,,0,467.50000000000006,86458.07461765366,425.0,425.0,,
12,site_GUJARAT_001,12,2036,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,87107.80017190242,84523.56367005111,2584.2365018513083,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,15163220.13414058,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
12,site_PUNJAB_020,12,2036,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,85792.19982809758,82935.79841327271,2856.401414824868,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,18827948.64711468,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
12,site_CHHATTISGARH_245,12,2036,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,76653.96433128793,22996189.299386382,1495.71,285.71,600.0,250.0,100000.0,True,site_CHHATTISGARH_245,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
12,site_HARYANA_525,12,2036,SAFProductionSite,site_HARYANA_525,HARYANA,inv_10,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_HARYANA_525,1.0,,,,,,,,,,,-125000000.0,,,,0,445.50000000000006,86545.10098269311,405.0,405.0,,
12,site_ODISHA_624,12,2036,SAFProductionSite,site_ODISHA_624,ODISHA,inv_11,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,False,site_ODISHA_624,1.0,,,,,,,,,,,-125000000.0,,,,0,445.50000000000006,89404.74534625192,405.0,405.0,,
12,site_BIHAR_725,12,2036,SAFProductionSite,site_BIHAR_725,BIHAR,inv_12,0.0,0.0,0.0,0.0,0.0,1525.71,285.71,600.0,250.0,100000.0,False,site_BIHAR_725,1.0,,,,,,,,,,,-125000000.0,,,,0,467.50000000000006,86458.07461765366,425.0,425.0,,
13,site_GUJARAT_001,13,2037,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,87842.98247551583,83934.10696604179,3908.875509474048,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,14953171.198175192,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
13,site_PUNJAB_020,13,2037,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,11693.154464189414,11693.154464189414,0.0,70009.07401428199,21002722.204284597,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,2853641.133090282,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
13,site_CHHATTISGARH_245,13,2037,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,76629.61627756862,22988884.883270588,1495.71,285.71,600.0,250.0,100000.0,True,site_CHHATTISGARH_245,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
13,site_HARYANA_525,13,2037,SAFProductionSite,site_HARYANA_525,HARYANA,inv_10,88152.74308621435,84224.5060928071,3928.2369934072485,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_HARYANA_525,1.0,,,,,,,,,,,18709665.48742692,,,,0,445.50000000000006,86545.10098269311,405.0,405.0,,
13,site_ODISHA_624,13,2037,SAFProductionSite,site_ODISHA_624,ODISHA,inv_11,0.0,0.0,0.0,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_ODISHA_624,1.0,,,,,,,,,,,-125000000.0,,,,0,445.50000000000006,89404.74534625192,405.0,405.0,,
13,site_BIHAR_725,13,2037,SAFProductionSite,site_BIHAR_725,BIHAR,inv_12,0.0,0.0,0.0,0.0,0.0,1525.71,285.71,600.0,250.0,100000.0,False,site_BIHAR_725,1.0,,,,,,,,,,,-125000000.0,,,,0,467.50000000000006,86458.07461765366,425.0,425.0,,
14,site_GUJARAT_001,14,2038,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,87842.98247551583,84487.04762170465,3355.934853811181,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,15370659.963513702,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
14,site_PUNJAB_020,14,2038,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,0.0,0.0,0.0,82579.27137098245,24773781.411294732,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
14,site_CHHATTISGARH_245,14,2038,SAFProductionSite,site_CHHATTISGARH_245,CHHATTISGARH,inv_06,0.0,0.0,0.0,77117.8217071874,23135346.51215622,1495.71,285.71,600.0,250.0,100000.0,True,site_CHHATTISGARH_245,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,80197.30664774435,400.0,400.0,,
14,site_HARYANA_525,14,2038,SAFProductionSite,site_HARYANA_525,HARYANA,inv_10,28839.451336791084,28839.451336791084,0.0,53938.27167452179,16181481.502356537,1495.71,285.71,600.0,250.0,100000.0,True,site_HARYANA_525,1.0,,,,,,,,,,,7052709.912490092,,,,0,445.50000000000006,86545.10098269311,405.0,405.0,,
14,site_ODISHA_624,14,2038,SAFProductionSite,site_ODISHA_624,ODISHA,inv_11,89517.56618769308,86656.5074230951,2861.058764597983,0.0,0.0,1495.71,285.71,600.0,250.0,100000.0,True,site_ODISHA_624,1.0,,,,,,,,,,,20594413.873861507,,,,0,445.50000000000006,89404.74534625192,405.0,405.0,,
14,site_BIHAR_725,14,2038,SAFProductionSite,site_BIHAR_725,BIHAR,inv_12,0.0,0.0,0.0,0.0,0.0,1525.71,285.71,600.0,250.0,100000.0,True,site_BIHAR_725,1.0,,,,,,,,,,,-125000000.0,,,,0,467.50000000000006,86458.07461765366,425.0,425.0,,
15,site_GUJARAT_001,15,2039,SAFProductionSite,site_GUJARAT_001,GUJARAT,inv_01,88334.57464803623,84403.8240547517,3930.7505932845233,0.0,0.0,1540.71,285.71,600.0,250.0,100000.0,True,site_GUJARAT_001,1.0,,,,,,,,,,,15230207.163902909,,,,0,495.00000000000006,86562.40829619016,450.0,450.0,,
15,site_PUNJAB_020,15,2039,SAFProductionSite,site_PUNJAB_020,PUNJAB,inv_02,0.0,0.0,0.0,81868.61367384801,24560584.102154404,1495.71,285.71,600.0,250.0,100000.0,True,site_PUNJAB_020,1.0,,,,,,,,,,,0.0,,,,0,440.00000000000006,85109.34684683023,400.0,400.0,,
