Step,AgentID,Tick,Year,Type,Unique_ID,State_ID,Investor_ID,Production_Output,SRMC,Design_Load_Factor,Annual_Load_Factor,NPV,Discount_Rate,ROACE,Feedstock_Price,Available_Feedstock,Current_Supply,Optimism_Factor,SAF_Demand,Consumer_Price_Forecast,EBIT,Raw_ROACE,Max_Supply,Num_Owned_Sites
26,site_MAHARASHTRA_008,26,2050,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,97778.65691198023,1570.71,1.0,,,,,,,,,,,66420063.85373904,,,0
26,site_UTTAR_PRADESH_022,26,2050,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,61837.22324293684,1525.71,0.65,,,,,,,,,,,44788082.42262672,,,0
26,site_TELANGANA_356,26,2050,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,54691.92730124519,1525.71,0.5698,,,,,,,,,,,39612816.025018886,,,0
26,site_KARNATAKA_711,26,2050,SAFProductionSite,site_KARNATAKA_711,KARNATAKA,inv_13,53878.22045820832,1540.71,0.56666667,,,,,,,,,,,38215282.98880258,,,0
26,site_WEST_BENGAL_1162,26,2050,SAFProductionSite,site_WEST_BENGAL_1162,WEST_BENGAL,inv_18,52875.41981081254,1540.71,0.5497,,,,,,,,,,,37504006.51761122,,,0
26,site_PUNJAB_1262,26,2050,SAFProductionSite,site_PUNJAB_1262,PUNJAB,inv_19,46292.33355793435,1495.71,0.4787,,,,,,,,,,,34917844.27941429,,,0
26,site_HARYANA_2181,26,2050,SAFProductionSite,site_HARYANA_2181,HARYANA,inv_02,,1495.71,0.4,,,,,,,,,,,,,,0
27,site_UTTAR_PRADESH_001,27,2051,SAFProductionSite,site_UTTAR_PRADESH_001,UTTAR_PRADESH,inv_01,97184.20487809888,1525.71,1.0,,,,,,,,,,,70389547.75115825,,,0
27,site_MAHARASHTRA_008,27,2051,SAFProductionSite,site_MAHARASHTRA_008,MAHARASHTRA,inv_01,97427.10840667886,1570.71,1.0,,,,,,,,,,,66181260.46957287,,,0
27,site_UTTAR_PRADESH_022,27,2051,SAFProductionSite,site_UTTAR_PRADESH_022,UTTAR_PRADESH,inv_02,61889.46171981241,1525.71,0.65,,,,,,,,,,,44825918.22904292,,,0
27,site_TELANGANA_356,27,2051,SAFProductionSite,site_TELANGANA_356,TELANGANA,inv_08,54901.84644656912,1525.71,0.5698,,,,,,,,,,,39764858.36278555,,,0
